Modelo,K_Features,Profundidade,Estimadores,Acurácia
XGBoost,5,3,100,0.8333333333333334
XGBoost,8,3,50,0.8095238095238095
XGBoost,8,4,50,0.8095238095238095
RandomForest,10,3,50,0.8095238095238095
RandomForest,12,3,50,0.8095238095238095
RandomForest,12,4,50,0.8095238095238095
RandomForest,15,3,50,0.8095238095238095
RandomForest,15,4,50,0.8095238095238095
XGBoost,5,4,100,0.8095238095238095
XGBoost,8,4,100,0.8095238095238095
RandomForest,8,3,100,0.8095238095238095
RandomForest,8,4,100,0.8095238095238095
RandomForest,10,3,100,0.8095238095238095
RandomForest,10,4,100,0.8095238095238095
RandomForest,12,4,100,0.8095238095238095
RandomForest,15,3,100,0.8095238095238095
RandomForest,15,4,100,0.8095238095238095
XGBoost,5,3,150,0.8095238095238095
XGBoost,5,4,150,0.8095238095238095
XGBoost,8,3,150,0.8095238095238095
RandomForest,8,3,150,0.8095238095238095
RandomForest,8,4,150,0.8095238095238095
RandomForest,10,3,150,0.8095238095238095
RandomForest,12,4,150,0.8095238095238095
XGBoost,5,3,200,0.8095238095238095
XGBoost,5,4,200,0.8095238095238095
RandomForest,5,3,200,0.8095238095238095
RandomForest,8,3,200,0.8095238095238095
RandomForest,8,4,200,0.8095238095238095
RandomForest,10,3,200,0.8095238095238095
RandomForest,10,4,200,0.8095238095238095
RandomForest,12,3,200,0.8095238095238095
RandomForest,12,4,200,0.8095238095238095
XGBoost,5,3,50,0.7857142857142857
XGBoost,5,4,50,0.7857142857142857
XGBoost,10,3,50,0.7857142857142857
XGBoost,10,4,50,0.7857142857142857
XGBoost,12,3,50,0.7857142857142857
XGBoost,12,4,50,0.7857142857142857
XGBoost,18,3,50,0.7857142857142857
XGBoost,20,3,50,0.7857142857142857
RandomForest,5,3,50,0.7857142857142857
RandomForest,8,4,50,0.7857142857142857
RandomForest,10,4,50,0.7857142857142857
RandomForest,20,3,50,0.7857142857142857
RandomForest,20,4,50,0.7857142857142857
XGBoost,8,3,100,0.7857142857142857
XGBoost,12,4,100,0.7857142857142857
XGBoost,20,3,100,0.7857142857142857
RandomForest,5,3,100,0.7857142857142857
RandomForest,12,3,100,0.7857142857142857
RandomForest,18,4,100,0.7857142857142857
RandomForest,20,3,100,0.7857142857142857
RandomForest,20,4,100,0.7857142857142857
XGBoost,20,3,150,0.7857142857142857
RandomForest,5,3,150,0.7857142857142857
RandomForest,10,4,150,0.7857142857142857
RandomForest,12,3,150,0.7857142857142857
RandomForest,15,3,150,0.7857142857142857
RandomForest,15,4,150,0.7857142857142857
RandomForest,18,4,150,0.7857142857142857
RandomForest,20,3,150,0.7857142857142857
RandomForest,20,4,150,0.7857142857142857
RandomForest,15,3,200,0.7857142857142857
RandomForest,18,3,200,0.7857142857142857
RandomForest,20,3,200,0.7857142857142857
RandomForest,20,4,200,0.7857142857142857
XGBoost,15,3,50,0.7619047619047619
XGBoost,15,4,50,0.7619047619047619
XGBoost,18,4,50,0.7619047619047619
RandomForest,8,3,50,0.7619047619047619
RandomForest,18,3,50,0.7619047619047619
RandomForest,18,4,50,0.7619047619047619
XGBoost,12,3,100,0.7619047619047619
XGBoost,18,3,100,0.7619047619047619
XGBoost,18,4,100,0.7619047619047619
XGBoost,20,4,100,0.7619047619047619
RandomForest,5,4,100,0.7619047619047619
RandomForest,18,3,100,0.7619047619047619
XGBoost,8,4,150,0.7619047619047619
XGBoost,18,3,150,0.7619047619047619
XGBoost,18,4,150,0.7619047619047619
XGBoost,20,4,150,0.7619047619047619
RandomForest,5,4,150,0.7619047619047619
RandomForest,18,3,150,0.7619047619047619
XGBoost,8,3,200,0.7619047619047619
XGBoost,18,3,200,0.7619047619047619
XGBoost,18,4,200,0.7619047619047619
XGBoost,20,3,200,0.7619047619047619
XGBoost,20,4,200,0.7619047619047619
RandomForest,15,4,200,0.7619047619047619
RandomForest,18,4,200,0.7619047619047619
XGBoost,20,4,50,0.7380952380952381
XGBoost,10,3,100,0.7380952380952381
XGBoost,10,4,100,0.7380952380952381
XGBoost,15,4,100,0.7380952380952381
XGBoost,10,3,150,0.7380952380952381
XGBoost,10,4,150,0.7380952380952381
XGBoost,12,3,150,0.7380952380952381
XGBoost,15,3,150,0.7380952380952381
XGBoost,15,4,150,0.7380952380952381
XGBoost,8,4,200,0.7380952380952381
XGBoost,10,3,200,0.7380952380952381
XGBoost,15,3,200,0.7380952380952381
XGBoost,15,4,200,0.7380952380952381
RandomForest,5,4,200,0.7380952380952381
RandomForest,5,4,50,0.7142857142857143
XGBoost,15,3,100,0.7142857142857143
XGBoost,12,4,150,0.7142857142857143
XGBoost,10,4,200,0.7142857142857143
XGBoost,12,3,200,0.7142857142857143
XGBoost,12,4,200,0.6904761904761905
